AMR
"(d / dismiss-01
                              :ARG1-of (p / possible-01)))))
      :snt2 (c / cause-01
            :ARG0 (o / obligate-01
                  :ARG1 (y2 / you)
                  :ARG2 (v / visit-01
                        :ARG0 y2
                        :ARG1 (s3 / supermarket)
                        :time (f2 / festival
                              :name (n / name
                                    :op1 ""Easter"")
                              :mod (t2 / this))))
            :ARG1 (t3 / tip-05
                  :ARG2 (a / avoid-01
                        :ARG0 y2
                        :ARG1 (g2 / get-01
                              :ARG0 y2
                              :ARG1 (p2 / product
                                    :name (n2 / name
                                          :op1 ""COVID-19""))
                              :time (b / be-located-at-91
                                    :ARG1 y2
                                    :ARG2 (o2 / out-and-about))))
                  :quant (f3 / few)))
      :snt3 (f4 / find-out-03
            :ARG0 (y3 / you)
            :medium (p3 / publication
                  :name (n3 / name
                        :op1 ""Cor""))))"
"(m / multi-sentence
      :snt1 (h / have-03
            :ARG0 (ii / i)
            :ARG1 (v / vacation-01
                  :duration (t / temporal-quantity
                        :quant 170
                        :unit (h2 / hour))
                  :ARG1-of (b / burn-01))
            :time (y / year
                  :mod (t2 / this)))
      :snt2 (g / go-02
            :ARG1 (ii2 / i)
            :ARG4 (a / amr-unknown)
            :time (d / date-entity
                  :year 2020))
      :snt3 (s / store
            :mod (g2 / grocery)
            :mod (a2 / all
                  :polarity -)))"
"(c / complete-01
      :ARG0 (ii / i)
      :ARG1 (t / task
            :poss ii
            :mod (e / essential)
            :ARG2-of (ii2 / include-91
                  :ARG1 (a / and
                        :op1 (p / pharmacy)
                        :op2 (o / office
                              :mod (p2 / post))
                        :op3 (s / store
                              :mod (g / grocery))
                        :op4 (h / home)))))"
"(n / notice-01
      :ARG0 (ii / i)
      :ARG1 (ii2 / increase-01
            :ARG1 (p / price-01
                  :ARG1 (a / and
                        :op1 (f / food
                              :mod (o / other))
                        :op2 (s / supply-01
                              :mod (o2 / other))))))"
"(c / contrast-01
      :ARG1 (p / possible-01
            :ARG1 (g / go-01
                  :ARG1 (t / thing
                        :ARG2-of (p2 / price-01
                              :ARG1 (g2 / gas)))
                  :ARG2 (l / low-04
                        :ARG1 t
                        :ARG3 (m / monetary-quantity
                              :quant 0.99
                              :unit (d / dollar)))))
      :ARG2 (p3 / possible-01
            :ARG1 (g3 / go-01
                  :ARG1 (t2 / thing
                        :ARG2-of (p4 / price-01
                              :ARG1 (p5 / paper
                                    :purpose (t3 / toilet))))
                  :ARG2 (u / up-02
                        :ARG1 t2
                        :ARG4 (r / rate-entity-91
                              :ARG1 (m2 / monetary-quantity
                                    :quant 3.29
                                    :unit (d2 / dollar))
                              :ARG2 (r2 / roll
                                    :quant 1))))))"
"(u / update-01
      :ARG0 (g / government-organization
            :name (n / name
                  :op1 ""FDA""))
      :ARG1 (g2 / guideline
            :poss g
            :beneficiary (s / supermarket))
      :manner (a / ask-02
            :ARG0 g
            :ARG1 (d / discontinue-01
                  :ARG0 (c / company
                        :ARG0-of (e / employ-01))
                  :ARG1 (a2 / and
                        :op1 (b / bar
                              :mod (s2 / salad))
                        :op2 (b2 / buffet)
                        :op3 (s3 / station
                              :ARG0-of (s4 / serve-02
                                    :ARG1 (b3 / beverage)))
                        :ARG0-of (r / require-01
                              :ARG1 (u2 / use-01
                                    :ARG0 (c2 / customer)
                                    :ARG1 (o / or
                                          :op1 (u3 / utensil
                                                :mod (c3 / common))
                                          :op2 (t / thing
                                                :ARG0-of (d2 / dispense-01))))
                              :ARG2 c2)))
            :ARG2 c))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (s / study-01
                  :ARG0 (ii / i)
                  :duration (m2 / most
                        :ARG3-of (ii2 / include-91
                              :ARG2 (d / date-entity
                                    :year 2018)))
                  :mod (f / full-time))
            :op2 (h / have-03
                  :ARG0 ii
                  :ARG1 (ii3 / income
                        :quant (l / little
                              :degree (v / very)))))
      :snt2 (t / take-01
            :ARG0 (ii4 / i)
            :ARG1 (j / job
                  :mod (r / retail-01))
            :time (f2 / final)
            :time (d2 / date-entity
                  :year 2019)
            :time (a2 / after
                  :op1 (f3 / find-01
                        :polarity -
                        :ARG0 ii4
                        :ARG1 (e / employ-01
                              :ARG1 ii4
                              :ARG2 (ii5 / industry
                                    :ARG2-of (f4 / finish-01
                                          :ARG0 ii4
                                          :ARG1 (s2 / school)
                                          :mod (j2 / just)))))))
      :snt3 (c / close-01
            :ARG1 (s3 / store)
            :time (n / now)
            :ARG1-of (c2 / cause-01
                  :ARG0 (l2 / law
                        :name (n2 / name
                              :op1 ""COVID-19"")))))"
"(c / clap-01
      :ARG0 (w / we)
      :beneficiary (p / person
            :ARG0-of (c2 / care-03
                  :ARG1 w))
      :mod (a / again)
      :time (d / date-entity
            :time ""18:00""
            :dayperiod (n / night)
            :mod (t / today)))"
"(l / lose-02
      :ARG0 (c / company
            :name (n / name
                  :op1 ""COCOBOD"")
            :ARG0-of (r / regulate-01
