AMR
"(m / multi-sentence
                        :purpose (t3 / toilet)
                        :mod (m3 / more)))
            :ARG1 ii4)
      :snt5 (v / virus
            :mod (c / coronavirus)))"
"(m / multi-sentence
      :snt1 (j / join-01
            :ARG0 (c / company
                  :name (n / name
                        :op1 ""Syngenta""))
            :ARG1 (c2 / company
                  :name (n2 / name
                        :op1 ""Huntsman_Corp""))
            :purpose (m2 / make-01
                  :ARG0 c
                  :ARG1 (p / product
                        :name (n3 / name
                              :op1 ""HandSanitizer""))
                  :location (s / site
                        :location (c3 / city
                              :name (n4 / name
                                    :op1 ""Monthey""))
                        :poss c)
                  :purpose (u / use-01
                        :ARG1 p
                        :location (a / and
                              :op1 (h / hospital)
                              :op2 (p2 / pharmacy))))
            :ARG2-of (r / respond-01
                  :ARG0 c
                  :ARG1 (a2 / appeal-02
                        :ARG0 (a3 / authority
                              :mod (c4 / country
                                    :name (n5 / name
                                          :op1 ""Switzerland"")))
                        :mod (u2 / urgent))))
      :snt2 (v / virus
            :mod (c5 / coronavirus)
            :medium (u3 / url-entity
                  :value ""https://t.co/3Aufms5QWf"")))"
"(m / multi-sentence
      :snt1 (l / look-forward-03
            :ARG1 (l2 / light-04
                  :ARG1 (c / candle)
                  :time (f / fall-01
                        :ARG1 (d / darkness))
                  :manner (p / place-01
                        :ARG1 c
                        :ARG2 (w / window))))
      :snt2 (c2 / contrast-01
            :ARG1 (o / one
                  :polarity -
                  :mod (j / just))
            :ARG2 (g / get-30
                  :ARG0 (y / you)
                  :ARG1 (g2 / gist)))
      :snt3 (w2 / way
            :mod (s / small)
            :manner-of (s2 / salute-01
                  :ARG1 (a / and
                        :op1 (p2 / person
                              :ARG0-of (h / have-org-role-91
                                    :ARG1 (g3 / government-organization
                                          :name (n / name
                                                :op1 ""National""
                                                :op2 ""Health""
                                                :op3 ""Service""))
                                    :ARG2 (s3 / staff-01)))
                        :op2 (p3 / person
                              :ARG0-of (h2 / have-org-role-91
                                    :ARG1 (s4 / supermarket)
                                    :ARG2 (s5 / staff-01)))
                        :op3 (m2 / man
                              :mod (b / bin))
                        :op4 (p4 / person
                              :mod (a2 / all)
                              :mod (o2 / other))
                        :ARG0-of (c3 / carry-on-02
                              :ARG1 (s6 / serve-01
                                    :mod (v / vital)))))
            :polarity (a3 / amr-unknown)))"
"(m / multi-sentence
      :snt1 (o / organization
            :name (n / name
                  :op1 ""COVID-19""))
      :snt2 m
      :snt3 (c / cause-01
            :ARG1 (ii / increase-01
                  :ARG1 (c2 / cost-01
                        :ARG1 (p / produce-01))))
      :snt4 (a / affect-01
            :ARG0 (t / this)
            :ARG1 (p2 / price-01
                  :ARG1 (f / food)
                  :location (m2 / market))
            :manner (v / variable
                  :polarity -))
      :snt5 (a2 / and
            :op1 (c3 / cause-01
                  :ARG0 (o2 / obligate-01
                        :ARG1 (d / depend-01
                              :ARG0 (p3 / person
                                    :ARG0-of (f2 / farm-01)
                                    :quant (m3 / many))
                              :ARG1 (s / source-01
                                    :ARG1 (ii2 / input
                                          :ARG1-of (l / local-02)))
                              :time (s2 / season
                                    :mod (n2 / next)
                                    :time-of (p4 / plant-01))))
                  :ARG1 (a3 / and
                        :op1 (a4 / affect-01
                              :ARG0 d
                              :ARG1 (y / yield-01
                                    :ARG0 p3))
                        :op2 (o3 / obligate-01
                              :ARG1 (m4 / maintain-01
                                    :ARG0 p3
                                    :manner (m5 / manual))))
                  :mod (a5 / also))))"
"(h / hyperlink-91
      :ARG1 (p / publication-91
            :ARG1 (a / article
                  :poss (ii / i)
                  :topic (ii2 / impact-01
                        :ARG0 (p2 / program
                              :name (n / name
                                    :op1 ""COVID""
                                    :op2 19))
                        :ARG1 (b / behave-01
                              :ARG1 (s / shop-01))))
            :ARG4 (s2 / section
                  :topic (r / retail-01)
                  :part-of (e / edition
                        :mod (o / online)
                        :poss (n2 / newspaper
                              :name (n3 / name
                                    :op1 ""Economic""
                                    :op2 ""Times"")))))
      :ARG3 (u / url-entity
            :value ""https://t.co/wtWUd9s47U228228""))"
"(m / multi-sentence
      :snt1 (r / report-01
            :ARG0 (w / we)
            :ARG1 (c / continue-01
                  :ARG1 (f / feel-01
                        :ARG1 (a / affect-01
                              :ARG0 (c2 / coronavirus
